genes,name,ExonLength,chr,chr_start,chr_end,WT_1_log2(cpm),WT_2_log2(cpm),DKO_1_log2(cpm),DKO_2_log2(cpm),logFC_1*WT -1*DKO,logCPM_1*WT -1*DKO,LR_1*WT -1*DKO,PValue_1*WT -1*DKO,FDR_1*WT -1*DKO
Chtop,chromatin target of PRMT1,3637,3,90498955,90509498,7.424,7.431,7.479,7.551,-0.088,7.473,0.365,0.545877748,0.873620907
Dctn4,dynactin 4,3714,18,60526220,60558762,5.716,5.757,5.705,5.581,0.092,5.692,0.364,0.546280651,0.873642824
Gtf2a2,"general transcription factor II A, 2",4047,9,70012549,70022866,5.443,5.456,5.605,5.477,-0.093,5.498,0.364,0.546304408,0.873642824
Ing3,"inhibitor of growth family, member 3",4806,6,21949570,21976038,5.118,5.232,5.22,5.32,-0.095,5.225,0.364,0.546236539,0.873642824
Rad21,RAD21 cohesin complex component,3604,15,51962604,51991760,7.796,7.976,7.85,7.735,0.095,7.842,0.364,0.546342518,0.873642824
Spidr,scaffolding protein involved in DNA repair,3279,16,15889226,16146851,4.505,4.431,4.395,4.336,0.103,4.42,0.364,0.546069749,0.873642824
Zbtb14,zinc finger and BTB domain containing 14,4231,17,69383049,69390750,4.505,4.636,4.528,4.824,-0.112,4.631,0.364,0.546557163,0.873841765
Copz1,"coatomer protein complex, subunit zeta 1",1669,15,103272910,103299862,7.369,7.354,7.5,7.398,-0.088,7.407,0.363,0.547109837,0.874434086
Sept1,septin 1,2060,7,127214446,127218498,8.415,8.313,8.466,8.444,-0.09,8.411,0.362,0.54714688,0.874434086
Zfp329,zinc finger protein 329,6732,7,12804976,12818858,3.146,3.325,3.39,3.327,-0.12,3.305,0.362,0.54719853,0.874434086
Adi1,acireductone dioxygenase 1,1886,12,28675230,28682175,6.388,6.201,6.05,6.33,0.1,6.249,0.362,0.547598717,0.874929215
1700009P17Rik,,1774,1,171113917,171126967,2.664,2.488,2.342,2.542,0.133,2.522,0.361,0.5479779,0.87510191
Taf5,TATA-box binding protein associated factor 5,3258,19,47067747,47083479,3.228,3.534,3.292,3.234,0.127,3.333,0.361,0.547932218,0.87510191
Tnip1,TNFAIP3 interacting protein 1,3539,11,54910784,54962917,6.165,6.024,6.038,5.976,0.089,6.053,0.361,0.547893533,0.87510191
Ckap4,cytoskeleton-associated protein 4,2954,10,84526304,84534036,6.531,6.773,6.476,6.643,0.095,6.611,0.361,0.548121752,0.875187311
Gls,glutaminase,15057,1,52163447,52233232,6.741,7.354,7.219,7.222,-0.14,7.152,0.36,0.548450052,0.875306502
Sco1,SCO1 cytochrome c oxidase assembly protein,3925,11,67052669,67067070,3.71,3.683,3.779,3.836,-0.111,3.757,0.36,0.548409778,0.875306502
Tyw5,tRNA-yW synthesizing protein 5,2672,1,57388236,57407101,2.3,2.373,2.351,2.029,0.14,2.279,0.36,0.54846756,0.875306502
Ndufa1,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1",419,X,37187587,37191163,6.364,6.307,6.29,6.212,0.084,6.295,0.36,0.548615003,0.875397543
Gins3,GINS complex subunit 3 (Psf3 homolog),2412,8,95633558,95645059,3.494,3.431,3.495,3.156,0.128,3.405,0.359,0.548894538,0.875410855
Ttll5,"tubulin tyrosine ligase-like family, member 5",15833,12,85824658,86061893,3.201,2.97,2.943,2.987,0.125,3.035,0.359,0.548859124,0.875410855
Zfp944,zinc finger protein 944,2784,17,22337988,22361400,3.583,3.595,3.213,3.659,0.135,3.527,0.36,0.54877576,0.875410855
Psmb1,"proteasome (prosome, macropain) subunit, beta type 1",1036,17,15475720,15498276,8.441,8.362,8.475,8.507,-0.089,8.448,0.358,0.549369434,0.876023974
Atp5b,"ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit",4237,10,128083272,128090391,9.902,9.89,9.894,9.703,0.094,9.85,0.357,0.550053393,0.876642792
Coasy,Coenzyme A synthase,2867,11,101082564,101086619,4.816,4.805,5.02,4.794,-0.101,4.863,0.357,0.550300654,0.876642792
Ighv7-1,,361,12,113896409,113896946,2.498,3.262,2.968,3.239,-0.18,3.03,0.357,0.549969263,0.876642792
Lynx1,Ly6/neurotoxin 1,4096,15,74747851,74753046,6.258,6.299,6.301,6.423,-0.085,6.322,0.357,0.550180061,0.876642792
Prrc1,proline-rich coiled-coil 1,4801,18,57354732,57392719,4.909,4.91,5.059,4.946,-0.094,4.959,0.357,0.549909177,0.876642792
Zfp251,zinc finger protein 251,3497,15,76852147,76871435,4.784,4.538,4.74,4.8,-0.104,4.721,0.357,0.550237194,0.876642792
Pik3ap1,phosphoinositide-3-kinase adaptor protein 1,2615,19,41274217,41385070,7.816,7.751,8.013,7.739,-0.098,7.834,0.356,0.550573894,0.876933815
Zranb2,"zinc finger, RAN-binding domain containing 2",4301,3,157534159,157548390,6.024,6.044,6.035,5.846,0.091,5.99,0.356,0.550827524,0.877193512
Vamp8,vesicle-associated membrane protein 8,2311,6,72385222,72390703,7.13,6.941,6.904,6.989,0.092,6.994,0.356,0.550921173,0.877198395
Aars2,"alanyl-tRNA synthetase 2, mitochondrial",3348,17,45506840,45520842,3.315,3.232,3.282,3.005,0.125,3.218,0.355,0.551338336,0.877285647
Ndufa11,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 11,2661,17,56717761,56724248,6.047,5.925,6.1,6.048,-0.087,6.032,0.355,0.551153566,0.877285647
Smarcc2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2",5027,10,128459235,128490173,6.433,6.514,6.398,6.385,0.083,6.434,0.355,0.551296029,0.877285647
Snapc4,"small nuclear RNA activating complex, polypeptide 4",6622,2,26362764,26380653,2.35,1.907,2.399,2.183,-0.151,2.232,0.355,0.551193947,0.877285647
1700021F05Rik,RIKEN cDNA 1700021F05 gene,1339,10,43525120,43540994,3.179,2.801,2.835,2.901,0.134,2.943,0.35,0.554126001,0.877683381
Ap4s1,"adaptor-related protein complex AP-4, sigma 1",1113,12,51690965,51738939,4.687,4.488,4.371,4.584,0.11,4.539,0.354,0.551733438,0.877683381
Api5,apoptosis inhibitor 5,4545,2,94411681,94438136,7.681,7.66,7.783,7.729,-0.086,7.714,0.35,0.553939647,0.877683381
Atp11a,"ATPase, class VI, type 11A",11150,8,12757013,12868728,2.71,2.781,3.413,2.332,-0.226,2.869,0.35,0.553958615,0.877683381
Cabin1,calcineurin binding protein 1,7460,10,75646109,75764357,5.976,5.845,6.137,5.871,-0.098,5.963,0.353,0.552493628,0.877683381
Cep170,centrosomal protein 170,6930,1,176733652,176807124,5.254,5.334,5.182,5.604,-0.114,5.354,0.351,0.553502453,0.877683381
Cyp4f16,"cytochrome P450, family 4, subfamily f, polypeptide 16",3017,17,32536557,32551798,3.722,3.77,3.208,3.888,0.158,3.673,0.353,0.552699268,0.877683381
Dot1l,"DOT1-like, histone H3 methyltransferase (S. cerevisiae)",8705,10,80755205,80795461,4.846,4.685,4.983,4.752,-0.104,4.822,0.351,0.553408532,0.877683381
E2f4,E2F transcription factor 4,1992,8,105297662,105305369,6.459,6.235,6.521,6.364,-0.093,6.399,0.353,0.552188345,0.877683381
Eif4e2,eukaryotic translation initiation factor 4E member 2,7497,1,87213913,87240488,6.618,6.712,6.831,6.672,-0.088,6.711,0.353,0.552468575,0.877683381
Ell2,elongation factor RNA polymerase II 2,3647,13,75707483,75772356,6.357,6.787,6.667,6.725,-0.109,6.643,0.35,0.553948361,0.877683381
Gm561,predicted gene 561,471,2,144594053,144595366,3.29,3.458,3.261,3.259,0.117,3.324,0.35,0.554063764,0.877683381
Gpr89,G protein-coupled receptor 89,5365,3,96868280,96905346,4.28,4.538,4.224,4.378,0.112,4.363,0.35,0.554098748,0.877683381
Icam1,intercellular adhesion molecule 1,2540,9,21015959,21028797,7.11,7.287,7.104,7.12,0.09,7.158,0.351,0.553476788,0.877683381
Itgb7,integrin beta 7,2743,15,102215994,102231935,7.787,7.707,7.456,8.296,-0.189,7.845,0.352,0.552737275,0.877683381
Ldoc1l,"leucine zipper, down-regulated in cancer 1-like",4426,15,84553397,84557823,6.032,5.825,6.168,5.888,-0.102,5.985,0.352,0.553252764,0.877683381
Lphn2,,8403,3,148815585,148989316,5.046,5.303,4.983,5.612,-0.152,5.259,0.354,0.552069886,0.877683381
Lrrfip2,leucine rich repeat (in FLII) interacting protein 2,3260,9,111118110,111225668,3.941,3.91,3.658,3.945,0.118,3.872,0.351,0.553672466,0.877683381
Mcm10,minichromosome maintenance 10 replication initiation factor,7692,2,4989713,5012791,3.718,4.093,4.093,3.177,0.212,3.819,0.353,0.552439403,0.877683381
Mrpl54,mitochondrial ribosomal protein L54,825,10,81264712,81266934,5.718,5.487,5.586,5.423,0.1,5.559,0.352,0.552764758,0.877683381
Nsun4,"NOL1/NOP2/Sun domain family, member 4",5993,4,116032841,116053876,4.228,4,4.299,4.159,-0.113,4.178,0.353,0.552248134,0.877683381
Patl1,protein associated with topoisomerase II homolog 1 (yeast),4221,19,11912398,11945096,5.266,5.513,5.621,5.371,-0.106,5.45,0.352,0.553151771,0.877683381
Pla2g12a,"phospholipase A2, group XIIA",1654,3,129878621,129895821,3.699,3.784,3.927,3.778,-0.112,3.803,0.351,0.553704934,0.877683381
Rdh13,retinol dehydrogenase 13 (all-trans and 9-cis),6595,7,4424769,4445649,3.718,3.942,3.835,4.063,-0.12,3.899,0.352,0.552836619,0.877683381
Slc23a2,"solute carrier family 23 (nucleobase transporters), member 2",7951,2,132052495,132145108,5.635,5.585,5.638,5.761,-0.091,5.657,0.351,0.553531432,0.877683381
Slc4a1ap,"solute carrier family 4 (anion exchanger), member 1, adaptor protein",4759,5,31526994,31554042,4.554,4.62,4.556,4.819,-0.106,4.644,0.351,0.553595417,0.877683381
Tbca,tubulin cofactor A,503,13,94788942,94842899,6.322,6.343,6.183,6.31,0.085,6.291,0.354,0.551933318,0.877683381
Trp53bp2,transformation related protein 53 binding protein 2,4361,1,182409171,182462432,4.556,4.559,4.668,4.64,-0.097,4.608,0.351,0.55376188,0.877683381
Rpp38,ribonuclease P/MRP 38 subunit,1042,2,3328948,3332643,2.259,2.555,2.351,2.204,0.137,2.358,0.35,0.55436313,0.877771837
Wdr53,WD repeat domain 53,1523,16,32247226,32257083,3.624,3.496,3.504,3.387,0.115,3.509,0.35,0.554354941,0.877771837
2210016F16Rik,RIKEN cDNA 2210016F16 gene,2822,13,58380045,58385225,6.453,6.145,6.274,6.14,0.098,6.259,0.349,0.554700984,0.878163205
Psmd5,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 5",3750,2,34852087,34874968,5.835,5.945,5.839,5.765,0.089,5.848,0.348,0.555179881,0.878777701
Bcas2,breast carcinoma amplified sequence 2,4390,3,103171654,103179166,6.269,6.196,6.132,6.168,0.083,6.193,0.347,0.555885892,0.878886118
Bclaf1,BCL2-associated transcription factor 1,8426,10,20312468,20344613,6.302,6.366,6.413,6.418,-0.081,6.376,0.346,0.556371337,0.878886118
Cacul1,"CDK2 associated, cullin domain 1",5790,19,60524695,60581023,6.127,6.191,6.24,6.243,-0.082,6.202,0.347,0.55573941,0.878886118
Gnl3,guanine nucleotide binding protein-like 3 (nucleolar),1883,14,31012433,31019089,5.006,5.1,5.07,4.827,0.1,5.006,0.348,0.555500924,0.878886118
Gtf2i,general transcription factor II I,7120,5,134237833,134314760,6.376,6.4,6.384,6.217,0.085,6.347,0.346,0.556207214,0.878886118
Pigm,"phosphatidylinositol glycan anchor biosynthesis, class M",7569,1,172376530,172384099,5.207,5.48,5.452,5.447,-0.099,5.402,0.346,0.556250386,0.878886118
Polb,"polymerase (DNA directed), beta",1227,8,22628118,22653437,4.703,4.655,4.551,4.613,0.096,4.634,0.347,0.556017059,0.878886118
Polh,"polymerase (DNA directed), eta (RAD 30 related)",2569,17,46172003,46202625,4.897,5.174,5.083,4.754,0.115,4.988,0.346,0.55615154,0.878886118
Ppp2r5d,"protein phosphatase 2, regulatory subunit B', delta",2926,17,46682990,46705002,4.384,4.409,4.648,4.35,-0.11,4.455,0.347,0.556075892,0.878886118
Ptgr1,prostaglandin reductase 1,2296,4,58965438,58987119,3.683,3.898,3.923,3.289,0.155,3.723,0.346,0.55642821,0.878886118
Sp4,trans-acting transcription factor 4,5770,12,118234932,118301440,4.969,5.319,5.041,5.497,-0.133,5.224,0.347,0.555560963,0.878886118
Tet3,tet methylcytosine dioxygenase 3,11999,6,83362372,83459084,5.367,5.632,5.589,5.618,-0.098,5.557,0.346,0.556406116,0.878886118
Usp39,ubiquitin specific peptidase 39,2425,6,72318677,72345184,6.161,5.998,6.264,6.077,-0.092,6.129,0.348,0.555395462,0.878886118
Cant1,calcium activated nucleotidase 1,4358,11,118406288,118419086,6.444,6.388,6.211,6.435,0.089,6.373,0.345,0.556704959,0.879179848
Birc5,baculoviral IAP repeat-containing 5,3402,11,117849250,117855743,5.221,5.409,5.517,4.436,0.243,5.203,0.345,0.556991108,0.879344944
Snx27,sorting nexin family member 27,6321,3,94497543,94582716,5.795,5.87,5.782,5.707,0.088,5.791,0.345,0.556966397,0.879344944
2210013O21Rik,,1880,X,153723589,153741920,3.14,3.395,2.903,3.332,0.14,3.211,0.345,0.557154245,0.879459121
Bhlha15,"basic helix-loop-helix family, member a15",3494,5,144190285,144194441,4.177,4.986,4.554,4.357,0.179,4.553,0.344,0.557578267,0.879809494
Dnajb12,DnaJ heat shock protein family (Hsp40) member B12,3369,10,59879555,59899302,5.467,5.477,5.553,5.567,-0.088,5.518,0.344,0.557573573,0.879809494
Stard4,StAR-related lipid transfer (START) domain containing 4,5586,18,33199354,33213862,5.167,5.331,5.303,4.964,0.108,5.2,0.344,0.557648769,0.879809494
Mettl5,methyltransferase like 5,2437,2,69871197,69885615,3.249,3.03,3.108,2.926,0.124,3.088,0.343,0.557998475,0.879974973
Ncapd3,"non-SMC condensin II complex, subunit D3",5499,9,27030174,27095311,4.238,4.431,4.67,4.226,-0.126,4.405,0.343,0.558011644,0.879974973
Ssbp1,single-stranded DNA binding protein 1,3319,6,40471351,40481823,5.271,5.131,5.171,5.043,0.095,5.158,0.343,0.558026261,0.879974973
Fam213a,"family with sequence similarity 213, member A",2948,14,40993739,41013788,5.623,5.489,4.991,5.714,0.16,5.481,0.342,0.558680967,0.880651606
Htra2,HtrA serine peptidase 2,2764,6,83051265,83055273,5.028,4.832,4.912,4.75,0.1,4.886,0.342,0.558640097,0.880651606
Taf5l,TATA-box binding protein associated factor 5 like,3033,8,123996317,124021309,3.233,3.126,3.356,3.234,-0.116,3.245,0.342,0.558728156,0.880651606
Ndufc2,"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2",754,7,97400002,97407802,6.356,6.19,6.267,6.1,0.089,6.232,0.341,0.558970006,0.880889429
Clptm1l,CLPTM1-like,2378,13,73604001,73620639,7.912,7.825,7.751,7.813,0.087,7.827,0.341,0.559397097,0.881419051
Atf1,activating transcription factor 1,3060,15,100227818,100261244,5.941,6.109,6.136,6.092,-0.087,6.072,0.339,0.560230823,0.88179433
Atg101,autophagy related 101,1230,15,101284300,101290934,4.953,5.104,4.905,4.967,0.094,4.986,0.339,0.560272668,0.88179433
Faf1,Fas-associated factor 1,5093,4,109676587,109963960,5.599,5.536,5.419,5.535,0.09,5.525,0.34,0.560113262,0.88179433
Jade1,jade family PHD finger 1,5950,3,41555733,41616862,4.6,4.926,4.309,4.885,0.147,4.703,0.34,0.559944886,0.88179433
Prkag2,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",6480,5,24862743,25100642,4.424,4.219,4.628,4.239,-0.122,4.389,0.34,0.559817939,0.88179433
Tgds,"TDP-glucose 4,6-dehydratase",2265,14,118111910,118132765,3.43,3.475,3.601,3.525,-0.111,3.514,0.339,0.560214439,0.88179433
Zfp935,zinc finger protein 935,1062,13,62454322,62466709,2.986,2.945,2.949,3.214,-0.123,3.034,0.339,0.56025478,0.88179433
Metap2,methionine aminopeptidase 2,7151,10,93858488,93897093,6.878,6.838,6.83,6.716,0.084,6.817,0.339,0.560487309,0.881845508
Tpi1,triosephosphate isomerase 1,2209,6,124810585,124814296,7.623,7.621,7.828,7.591,-0.092,7.669,0.339,0.560453751,0.881845508
Slc35a5,"solute carrier family 35, member A5",4663,16,45139572,45158706,5.059,5.294,4.848,5.253,0.117,5.126,0.338,0.560713021,0.882057325
Adamts6,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6",4822,13,104287872,104494763,2.33,2.306,2.399,2.484,-0.125,2.391,0.338,0.560973051,0.882323051
Gpr137,G protein-coupled receptor 137,2768,19,6938068,6942450,3.945,3.471,3.65,3.534,0.134,3.665,0.338,0.561163956,0.882446529
Pptc7,PTC7 protein phosphatase homolog,4719,5,122284364,122324281,5.853,5.999,6.063,5.967,-0.088,5.973,0.337,0.56132493,0.882446529
Sympk,symplekin,7777,7,19024376,19054618,6.707,6.515,6.583,6.469,0.087,6.572,0.338,0.561261148,0.882446529
Zmym2,"zinc finger, MYM-type 2",6876,14,56887794,56962579,5.932,5.961,6.047,6.012,-0.083,5.989,0.337,0.561624318,0.882773884
Egln1,egl-9 family hypoxia-inducible factor 1,3515,8,124908595,124949254,5.384,5.431,5.389,5.242,0.091,5.364,0.337,0.561846862,0.882980366
Cenpl,centromere protein L,4995,1,161070766,161086724,3.616,4.09,3.727,3.757,0.131,3.812,0.336,0.562141171,0.883299545
Brd1,bromodomain containing 1,8138,15,88687299,88734233,5.791,5.928,5.836,6.065,-0.094,5.909,0.335,0.562482641,0.883313306
Ccpg1,cell cycle progression 1,5110,9,72985428,73016340,2.32,2.571,2.24,2.396,0.132,2.397,0.335,0.562605997,0.883313306
Ighg3,Immunoglobulin heavy constant gamma 3,992,12,113359664,113361232,7.998,10.402,8.68,9.397,0.57,9.395,0.335,0.562540351,0.883313306
Smc4,structural maintenance of chromosomes 4,5032,3,69004737,69034623,6.555,6.595,6.481,6.51,0.079,6.537,0.335,0.562466277,0.883313306
Smurf1,SMAD specific E3 ubiquitin protein ligase 1,6336,5,144876494,144965847,4.283,4.542,4.085,4.477,0.124,4.36,0.336,0.562241813,0.883313306
Brat1,BRCA1-associated ATM activator 1,6179,5,140705010,140719379,5.205,5.109,5.031,5.103,0.09,5.115,0.334,0.563041797,0.883705021
Ist1,increased sodium tolerance 1 homolog (yeast),2341,8,109671321,109693294,5.763,5.76,5.843,5.85,-0.085,5.806,0.334,0.563220199,0.883705021
Slc37a4,"solute carrier family 37 (glucose-6-phosphate transporter), member 4",2083,9,44398175,44402963,4.185,3.964,3.904,4.028,0.111,4.027,0.334,0.563220507,0.883705021
Usp16,ubiquitin specific peptidase 16,9454,16,87454702,87483517,5.167,5.081,5.224,5.203,-0.089,5.171,0.334,0.563199072,0.883705021
1110004F10Rik,RIKEN cDNA 1110004F10 gene,1495,7,116093300,116105210,6.677,6.586,6.554,6.551,0.08,6.593,0.333,0.563606354,0.883880799
Nmt2,N-myristoyltransferase 2,6556,2,3284211,3328877,4.154,4.333,4.406,4.293,-0.105,4.302,0.334,0.563564411,0.883880799
Tmem184b,transmembrane protein 184b,3434,15,79360683,79403303,5.707,5.876,5.69,5.718,0.09,5.75,0.334,0.563555981,0.883880799
Tnrc18,trinucleotide repeat containing 18,6880,5,142750379,142817662,4.123,3.885,4.462,3.792,-0.156,4.092,0.333,0.564023599,0.884391926
Kdm1a,lysine (K)-specific demethylase 1A,5179,4,136550539,136602723,5.588,5.777,5.778,5.775,-0.091,5.732,0.333,0.564122028,0.884403063
Hmgcs1,3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1,3233,13,119690461,119708086,5.42,5.501,5.521,5.172,0.104,5.411,0.332,0.564344003,0.884607855
Creb1,cAMP responsive element binding protein 1,9646,1,64532644,64604548,6.549,6.931,6.841,6.866,-0.101,6.804,0.332,0.564570293,0.884819343
Psmd6,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 6",2326,14,14112183,14120984,6.33,6.262,6.295,6.123,0.085,6.255,0.332,0.564742298,0.884945698
Slco2a1,"solute carrier organic anion transporter family, member 2a1",10353,9,102988711,103096002,2.388,2.373,2.131,2.869,-0.168,2.476,0.331,0.56486598,0.884996303
Nktr,natural killer tumor recognition sequence,17457,9,121719168,121756843,4.978,5.269,5.298,5.164,-0.101,5.184,0.331,0.565323148,0.885569293
Zpr1,ZPR1 zinc finger,3583,9,46273063,46282643,5.583,5.672,5.517,5.565,0.087,5.586,0.33,0.565507842,0.885715339
Eif2b5,"eukaryotic translation initiation factor 2B, subunit 5 epsilon",3209,16,20498816,20509955,6.225,6.098,6.141,6.011,0.085,6.121,0.33,0.565627598,0.885759647
Tmprss13,"transmembrane protease, serine 13",3245,9,45319099,45347581,2.762,2.801,2.757,3.04,-0.124,2.852,0.33,0.565771863,0.885842315
Exo1,exonuclease 1,5506,1,175880777,175911396,2.784,3.237,3.175,2.414,0.186,2.945,0.33,0.565901757,0.88590246
Acy1,aminoacylase 1,2966,9,106432980,106438319,3.502,3.475,3.666,3.53,-0.11,3.549,0.329,0.566251281,0.886163123
Fbxo11,F-box protein 11,4144,17,87990858,88065291,5.722,5.97,5.611,5.875,0.102,5.802,0.329,0.566185977,0.886163123
Isy1,ISY1 splicing factor homolog,1620,6,87818446,87838759,6.575,6.49,6.638,6.587,-0.079,6.574,0.328,0.566933372,0.887081622
Pramef8,PRAME family member 8,4176,4,143412425,143421091,5.225,5.069,4.97,5.133,0.095,5.104,0.328,0.5670214,0.887081622
Acly,ATP citrate lyase,5279,11,100476352,100528000,7.959,7.9,8.067,7.962,-0.086,7.974,0.327,0.567691216,0.887355288
Crebl2,cAMP responsive element binding protein-like 2,3923,6,134830153,134858931,5.167,5.115,5.003,5.471,-0.115,5.201,0.326,0.567746114,0.887355288
Fra10ac1,FRA10AC1 homolog (human),1402,19,38188480,38224138,3.398,3.363,3.39,3.59,-0.113,3.443,0.327,0.567547237,0.887355288
Phc1,polyhomeotic-like 1 (Drosophila),5297,6,122317730,122340561,3.925,3.888,3.959,4.06,-0.104,3.963,0.327,0.567516162,0.887355288
Sap30bp,SAP30 binding protein,3708,11,115933281,115966725,6.408,6.165,6.379,6.379,-0.088,6.336,0.327,0.56729039,0.887355288
Ten1,TEN1 telomerase capping complex subunit,2728,11,116198854,116215318,5.204,5.059,5.148,4.913,0.098,5.086,0.327,0.567664839,0.887355288
Tbc1d30,"TBC1 domain family, member 30",5691,10,121263823,121311189,2.35,2.471,2.197,2.369,0.126,2.36,0.326,0.567925673,0.887492693
Nacc2,"nucleus accumbens associated 2, BEN and BTB (POZ) domain containing",7815,2,26055534,26123220,3.948,3.839,4.034,3.963,-0.105,3.951,0.326,0.568018313,0.887494247
4632434I11Rik,,3349,7,92857528,92874213,2.071,2.563,2.437,1.843,0.171,2.266,0.324,0.568996962,0.887732117
Aip,aryl-hydrocarbon receptor-interacting protein,1937,19,4114445,4125858,6.563,6.399,6.399,6.403,0.082,6.443,0.324,0.568945628,0.887732117
Exosc8,exosome component 8,3968,3,54728677,54735393,5.573,5.539,5.687,5.597,-0.086,5.601,0.325,0.56875872,0.887732117
Fam173b,"family with sequence similarity 173, member B",5248,15,31601851,31621227,3.384,3.344,3.245,3.264,0.11,3.315,0.325,0.568857804,0.887732117
Fam193a,"family with sequence similarity 193, member A",7418,5,34369932,34486456,4.941,4.907,5.046,4.979,-0.089,4.971,0.325,0.568639298,0.887732117
Glrx2,glutaredoxin 2 (thioltransferase),8707,1,143716337,143749676,4.458,4.488,4.583,4.552,-0.095,4.523,0.325,0.568546183,0.887732117
Pfn1,profilin 1,1026,11,70651849,70654644,10.431,10.28,10.558,10.338,-0.095,10.406,0.325,0.568699597,0.887732117
Pkn1,protein kinase N1,7386,8,83669761,83699179,6.811,6.599,6.824,6.766,-0.086,6.753,0.324,0.569087256,0.887732117
Ppp1ca,"protein phosphatase 1, catalytic subunit, alpha isoform",1379,19,4192157,4195419,9.353,9.313,9.32,9.166,0.088,9.29,0.325,0.568594355,0.887732117
Zfp446,zinc finger protein 446,5801,7,12977847,12984340,2.416,1.994,2.543,2.172,-0.15,2.306,0.324,0.569047524,0.887732117
Ppif,peptidylprolyl isomerase F (cyclophilin F),3641,14,25694153,25700468,5.454,5.516,5.621,5.523,-0.087,5.531,0.324,0.569385311,0.887911006
Rcor1,REST corepressor 1,5684,12,111039350,111115901,5.442,5.644,5.611,5.665,-0.091,5.594,0.324,0.569306073,0.887911006
Cd164,CD164 antigen,4449,10,41519413,41531048,9.208,9.25,9.125,9.163,0.085,9.188,0.324,0.56948864,0.887929157
Slirp,SRA stem-loop interacting RNA binding protein,3104,12,87443895,87452206,4.827,4.854,4.925,4.932,-0.088,4.887,0.323,0.569733435,0.888167834
Idh3a,isocitrate dehydrogenase 3 (NAD+) alpha,2403,9,54586510,54604661,6.05,6.152,6.271,6.099,-0.085,6.146,0.323,0.569966849,0.888223643
Pknox1,Pbx/knotted 1 homeobox,6892,17,31564748,31607684,5.384,5.315,5.482,5.39,-0.087,5.395,0.323,0.569892337,0.888223643
Psmb7,"proteasome (prosome, macropain) subunit, beta type 7",1214,2,38588035,38644087,7.17,7.136,7.193,6.916,0.092,7.108,0.323,0.570044397,0.888223643
Dync1li2,"dynein, cytoplasmic 1 light intermediate chain 2",4633,8,104417673,104443047,5.197,5.451,5.353,5.497,-0.097,5.38,0.322,0.570446174,0.888706684
Pdlim1,PDZ and LIM domain 1 (elfin),5260,19,40221172,40271842,5.782,5.757,5.648,6.073,-0.107,5.824,0.322,0.570704844,0.888966657
Ahsa1,"AHA1, activator of heat shock protein ATPase 1",1347,12,87266745,87273997,7.036,6.987,7.015,6.831,0.086,6.97,0.319,0.572337879,0.889360234
Ak3,adenylate kinase 3,3120,19,29020832,29047961,6.181,6.331,6.313,6.366,-0.082,6.3,0.319,0.572383152,0.889360234
Ap1b1,"adaptor protein complex AP-1, beta 1 subunit",4957,11,4986823,5042791,7.173,7.021,7.182,7.184,-0.084,7.142,0.319,0.571983601,0.889360234
Bin3,bridging integrator 3,1712,14,70100144,70138191,6.706,6.572,6.75,6.692,-0.081,6.682,0.319,0.572470649,0.889360234
C230052I12Rik,,1824,7,35392274,35396817,4.558,4.626,4.67,4.7,-0.092,4.641,0.319,0.572364221,0.889360234
Dhcr24,24-dehydrocholesterol reductase,4028,4,106561037,106589113,2.902,3.03,3.219,1.957,0.247,2.855,0.318,0.572780935,0.889360234
Hace1,"HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1",12851,10,45577828,45712345,3.945,3.907,3.8,3.846,0.103,3.879,0.32,0.571815794,0.889360234
Hax1,HCLS1 associated X-1,1117,3,89995456,89998686,5.019,5.104,5.02,4.924,0.089,5.02,0.318,0.572789888,0.889360234
Map3k1,mitogen-activated protein kinase kinase kinase 1,7447,13,111746427,111808993,7.806,7.87,7.723,8.135,-0.105,7.892,0.318,0.572794277,0.889360234
Map3k8,mitogen-activated protein kinase kinase kinase 8,4504,18,4331326,4353015,3.592,3.742,3.804,3.172,0.147,3.601,0.319,0.572035326,0.889360234
Mtpn,myotrophin,3960,6,35508905,35539888,8.768,8.795,8.877,8.853,-0.084,8.824,0.318,0.572642154,0.889360234
Oaz1,ornithine decarboxylase antizyme 1,2558,10,80826655,80829290,6.305,6.337,6.331,6.137,0.084,6.28,0.32,0.571484142,0.889360234
Pex16,peroxisomal biogenesis factor 16,1775,2,92374675,92381217,4.571,3.91,4.614,4.237,-0.16,4.362,0.319,0.571986136,0.889360234
Ppme1,protein phosphatase methylesterase 1,2361,7,100326736,100371896,5.123,5.215,5.23,5.285,-0.087,5.216,0.32,0.571666818,0.889360234
Rc3h1,RING CCCH (C3H) domains 1,11308,1,160906417,160974978,5.546,6.066,5.908,5.986,-0.118,5.891,0.318,0.572566064,0.889360234
