genes,name,ExonLength,chr,chr_start,chr_end,WT_FoB_1_log2(cpm),WT_FoB_2_log2(cpm),DKO_FoB_1_log2(cpm),DKO_FoB_2_log2(cpm),DKO_FoB_3_log2(cpm),DKO_ABC_1_log2(cpm),DKO_ABC_2_log2(cpm),DKO_ABC_3_log2(cpm),logFC_1*WT_FoB -1*DKO_FoB,logCPM_1*WT_FoB -1*DKO_FoB,LR_1*WT_FoB -1*DKO_FoB,PValue_1*WT_FoB -1*DKO_FoB,FDR_1*WT_FoB -1*DKO_FoB,logFC_1*WT_FoB -1*DKO_ABC,logCPM_1*WT_FoB -1*DKO_ABC,LR_1*WT_FoB -1*DKO_ABC,PValue_1*WT_FoB -1*DKO_ABC,FDR_1*WT_FoB -1*DKO_ABC,logFC_1*DKO_FoB -1*DKO_ABC,logCPM_1*DKO_FoB -1*DKO_ABC,LR_1*DKO_FoB -1*DKO_ABC,PValue_1*DKO_FoB -1*DKO_ABC,FDR_1*DKO_FoB -1*DKO_ABC,ENTREZID
Lrrc16a,leucine rich repeat containing 16A,8977,13,24012343,24280795,4.739,4.3,5.775,5.098,5.129,5.148,4.406,5.484,-0.834,5.088,4.587,0.032215889,0.091682836,-0.544,5.088,1.986,0.158799337,0.254748867,0.29,5.088,0.733,0.392046262,0.725789632,NA
2410004B18Rik,RIKEN cDNA 2410004B18 gene,2029,3,145938013,145944829,4.736,4.838,3.85,4.16,4.307,3.812,4.058,3.886,0.669,4.259,6.212,0.012687852,0.046908005,0.866,4.259,10.389,0.001267778,0.005321144,0.197,4.259,0.649,0.420452843,0.747047542,66421
Cenpq,centromere protein Q,2604,17,40923050,40935047,4.736,4.719,4.601,4.733,4.923,4.349,4.629,4.532,-0.032,4.665,0.017,0.896666505,0.934414928,0.219,4.665,0.779,0.377319329,0.496563234,0.251,4.665,1.278,0.258285549,0.612326244,83815
Myd88,myeloid differentiation primary response gene 88,2576,9,119335933,119341411,4.736,4.644,4.735,4.991,4.854,4.981,5.437,5.149,-0.174,4.965,0.475,0.490551987,0.631560416,-0.513,4.965,4.074,0.043546505,0.092079311,-0.339,4.965,2.299,0.129426447,0.430552438,17874
Tnip2,TNFAIP3 interacting protein 2,2879,5,34496086,34513997,4.736,4.623,4.944,4.098,3.971,5.208,4.062,4.084,0.277,4.537,0.378,0.538934358,0.6719242,0.126,4.537,0.077,0.780907305,0.84414517,-0.151,4.537,0.139,0.709159225,0.89454091,231130
Commd10,COMM domain containing 10,1561,18,46958861,47087992,4.733,4.606,4.01,4.365,4.334,4.289,4.672,4.461,0.425,4.454,2.561,0.109501665,0.220769903,0.187,4.454,0.496,0.481270683,0.594786832,-0.238,4.454,0.985,0.320944692,0.672010659,69456
Ethe1,ethylmalonic encephalopathy 1,1484,7,24587542,24608925,4.733,4.812,3.307,4.163,3.749,3.739,4.212,3.61,0.992,4.133,8.446,0.003657813,0.019485859,0.896,4.133,6.897,0.008631756,0.025102665,-0.095,4.133,0.094,0.759000188,0.911642821,66071
Fbxl8,F-box and leucine-rich repeat protein 8,2103,8,105264647,105269326,4.733,4.806,3.91,4.466,3.377,3.779,4.311,3.365,0.786,4.193,3.829,0.050371787,0.126503988,0.901,4.193,5.024,0.025000513,0.059222499,0.114,4.193,0.098,0.754360271,0.909797051,50788
Smad3,SMAD family member 3,5542,9,63646766,63757994,4.733,4.596,4.967,5.052,4.98,5.196,5.137,5.622,-0.335,5.068,1.748,0.18617512,0.322666325,-0.67,5.068,6.884,0.00869859,0.02528431,-0.335,5.068,2.253,0.133367002,0.435867848,17127
Igkv12-41,immunoglobulin kappa chain variable 12-41,347,6,69858419,69858884,4.73,4.716,3.65,4.288,3.834,4.958,5.615,5.451,0.774,4.804,6.362,0.011662033,0.044302694,-0.646,4.804,4.25,0.039242333,0.084909981,-1.42,4.804,25.485,4.45783794946609e-07,1.35256185553354e-05,619960
Khk,ketohexokinase,1670,5,30921555,30931246,4.73,4.65,3.129,3.842,2.843,3.207,3.535,3.235,1.36,3.813,14.332,0.000153244,0.001955303,1.36,3.813,14.337,0.000152854,0.000953597,0.001,3.813,0,0.998733027,0.999597731,16548
Syt11,synaptotagmin XI,5205,3,88744699,88775164,4.73,4.66,5.193,5.264,4.772,6.282,6.665,6.185,-0.397,5.668,2.26,0.132771952,0.253399995,-1.699,5.668,38.022,6.99404202736119e-10,2.42069239030824e-08,-1.302,5.668,30.785,2.88236458927357e-08,1.16503967314694e-06,229521
Arfip1,ADP-ribosylation factor interacting protein 1,3705,3,84496092,85887516,4.727,4.919,5.327,5.59,5.585,5.496,5.883,5.701,-0.682,5.45,8.095,0.004439661,0.022460858,-0.878,5.45,13.27,0.000269691,0.001514885,-0.196,5.45,0.884,0.346974295,0.693328602,99889
Casp9,caspase 9,5197,4,141793611,141815976,4.727,4.568,5.558,5.637,5.287,6.251,6.262,6.101,-0.853,5.673,13.862,0.000196762,0.00235219,-1.559,5.673,44.176,3.00100218451445e-11,1.41022704280435e-09,-0.706,5.673,12.713,0.000363069,0.004957229,12371
Chchd4,coiled-coil-helix-coiled-coil-helix domain containing 4,1245,6,91464275,91473423,4.727,4.868,3.868,4.46,4.74,3.942,4.342,4.165,0.397,4.435,1.556,0.212283024,0.354315876,0.64,4.435,4.038,0.044478462,0.093570704,0.242,4.435,0.706,0.400616847,0.732949125,72170
Chchd7,coiled-coil-helix-coiled-coil-helix domain containing 7,4060,4,3938887,3951046,4.727,4.66,3.657,3.98,3.145,3.602,3.655,2.95,1.064,3.928,8.875,0.002891479,0.016571889,1.263,3.928,12.462,0.00041536,0.002168616,0.199,3.928,0.371,0.542512018,0.81680632,66433
Sap30l,SAP30-like,1151,11,57801636,57810217,4.727,4.921,3.691,4.083,3.568,3.69,3.765,3.461,1.032,4.091,12.87,0.000333844,0.003476795,1.186,4.091,16.939,3.85987167699974e-05,0.00030108,0.154,4.091,0.341,0.558990621,0.826475424,50724
Xxylt1,xyloside xylosyltransferase 1,3412,16,30955626,31081432,4.727,4.751,4.792,5.386,4.562,4.746,5.079,4.994,-0.218,4.904,0.507,0.476276284,0.619110968,-0.209,4.904,0.465,0.49548723,0.608050146,0.009,4.904,0.001,0.972313747,0.991910528,268880
0610011F06Rik,,1109,17,25875463,25886007,4.723,4.687,3.586,4.218,3.46,3.409,3.479,3.07,0.913,3.957,7.738,0.005407027,0.025775353,1.38,3.957,17.542,2.81052814024948e-05,0.000229447,0.467,3.957,2.406,0.120858352,0.415594987,NA
Adck5,aarF domain containing kinase 5,3452,15,76576357,76595816,4.723,4.517,4.221,2.81,3.278,4.285,2.562,2.616,1.069,3.862,3.135,0.076630992,0.170651948,1.237,3.862,4.192,0.040625861,0.087130788,0.168,3.862,0.093,0.759822192,0.911678887,268822
Mdfic,MyoD family inhibitor domain containing,7427,6,15720660,15802169,4.723,4.528,5.805,5.974,5.728,6.348,6.808,6.535,-1.212,5.989,24.605,7.03734727395503e-07,2.93688572154946e-05,-1.95,5.989,60.118,8.93155551933188e-15,8.12982533885642e-13,-0.738,5.989,12.533,0.000399891,0.005384916,16543
Mkks,McKusick-Kaufman syndrome,3227,2,136873779,136891389,4.723,5.108,4.01,4.525,4.357,4.111,4.624,4.365,0.615,4.519,4.366,0.036660048,0.100686659,0.547,4.519,3.439,0.063676254,0.124995331,-0.069,4.519,0.067,0.796079,0.925699654,59030
Rad1,RAD1 checkpoint DNA exonuclease,7400,15,10486017,10499063,4.723,4.916,4.612,4.738,4.519,4.183,4.479,4.275,0.197,4.577,0.628,0.428147652,0.575777903,0.505,4.577,4.127,0.042204342,0.089882496,0.308,4.577,1.88,0.170367127,0.4969851,19355
Sars2,seryl-aminoacyl-tRNA synthetase 2,1910,7,28741967,28753879,4.723,4.709,4.125,4.102,4.161,4.051,3.898,3.557,0.588,4.216,4.865,0.027412811,0.081379583,0.871,4.216,10.634,0.001110119,0.004795579,0.283,4.216,1.352,0.24493502,0.596809838,71984
Ankrd28,ankyrin repeat domain 28,5229,14,31700014,31830415,4.72,4.557,5.772,5.247,5.878,5.389,4.749,5.245,-1.018,5.269,10.892,0.000966018,0.007601881,-0.511,5.269,2.834,0.092266438,0.166630217,0.506,5.269,3.601,0.057756626,0.265489967,105522
Ei24,etoposide induced 2.4 mRNA,3459,9,36779158,36797361,4.72,4.713,4.992,5.573,5.319,5.228,5.709,5.529,-0.599,5.269,4.786,0.028697008,0.084154595,-0.788,5.269,8.176,0.004243915,0.01412195,-0.188,5.269,0.618,0.431636555,0.753506029,13663
Gbp9,guanylate-binding protein 9,3693,5,105078393,105139539,4.72,4.476,5.909,5.611,5.556,4.993,4.77,5.407,-1.098,5.26,14.828,0.000117755,0.001605242,-0.479,5.26,2.926,0.087173557,0.159526091,0.619,5.26,6.328,0.011882067,0.084010211,236573
Pnpla6,patatin-like phospholipase domain containing 6,4496,8,3515383,3544266,4.72,4.757,5.416,4.152,4.391,5.506,4.16,4.473,-0.023,4.785,0.002,0.963158752,0.978184499,-0.094,4.785,0.035,0.851100224,0.897365797,-0.071,4.785,0.025,0.873882615,0.956554829,50767
Desi2,desumoylating isopeptidase 2,4453,1,178187416,178252598,4.717,4.788,5.21,5.536,5.372,5.308,5.743,5.519,-0.628,5.314,6.493,0.010831673,0.041989985,-0.783,5.314,10.03,0.001540063,0.00625769,-0.156,5.314,0.526,0.46820995,0.773104846,78825
Pde12,phosphodiesterase 12,7725,14,26659957,26669883,4.717,4.677,4.997,5.649,5.13,4.694,5.169,4.584,-0.591,4.996,3.64,0.05639725,0.137746083,-0.142,4.996,0.215,0.642805894,0.736919789,0.449,4.996,2.715,0.09943275,0.370168198,211948
Otud6b,OTU domain containing 6B,3387,4,14809497,14826587,4.714,4.824,5.265,5.334,5.624,5.183,5.437,5.419,-0.648,5.256,7.216,0.007224209,0.031817947,-0.583,5.256,5.852,0.015558427,0.040526231,0.065,5.256,0.096,0.756287696,0.910710922,72201
Ube2s,ubiquitin-conjugating enzyme E2S,858,7,4808154,4812351,4.714,4.794,3.579,4.014,5.229,3.759,4.099,4.088,0.302,4.39,0.426,0.513963331,0.652616005,0.765,4.39,2.751,0.097208792,0.173255263,0.463,4.39,1.223,0.268687174,0.621453328,77891
Zfp707,zinc finger protein 707,3094,15,75969122,75975868,4.714,4.725,3.82,3.824,2.953,3.595,3.473,2.847,1.139,3.899,9.228,0.002383927,0.01442563,1.385,3.899,13.592,0.000227133,0.001316779,0.246,3.899,0.516,0.472647841,0.776219497,69020
Lmf1,lipase maturation factor 1,13471,17,25579173,25662826,4.711,4.748,3.737,3.69,3.696,4.242,4.534,4.352,1.024,4.277,16.735,4.29704504978122e-05,0.000766572,0.348,4.277,1.933,0.164376888,0.26119544,-0.677,4.277,8.785,0.00303783,0.029337778,76483
Lrrc41,leucine rich repeat containing 41,3713,4,116075268,116097043,4.711,4.553,4.565,5.368,4.792,4.901,5.394,5.08,-0.316,4.958,0.999,0.317548753,0.470563208,-0.507,4.958,2.546,0.110578283,0.191360024,-0.191,4.958,0.467,0.494468664,0.789619803,230654
Nudt14,nudix (nucleoside diphosphate linked moiety X)-type motif 14,793,12,112934732,112942118,4.711,4.862,3.187,3.897,3.098,3.525,4.132,3.228,1.351,3.984,12.419,0.000425056,0.004174725,1.111,3.984,8.432,0.003687639,0.012608432,-0.239,3.984,0.469,0.493601849,0.789344033,66174
9430008C03Rik,,4643,2,158353699,158361580,4.708,4.815,5.102,2.998,4.097,4.588,1.532,3.235,0.455,4.231,0.329,0.566037203,0.695045675,1.168,4.231,2.186,0.139257263,0.229252914,0.713,4.231,0.98,0.322275529,0.672663307,NA
Ipmk,inositol polyphosphate multikinase,7093,10,71347762,71433327,4.708,4.794,5.205,5.224,5.407,5.127,5.162,5.397,-0.531,5.149,5.196,0.022637065,0.070890442,-0.483,5.149,4.307,0.037945446,0.082561519,0.048,5.149,0.055,0.814156534,0.934150051,69718
Gpank1,G patch domain and ankyrin repeats 1,1879,17,35121454,35124814,4.705,4.553,3.168,3.955,3.184,2.862,3.24,2.829,1.149,3.745,10.7,0.001071541,0.008127961,1.646,3.745,21.681,3.21953718553074e-06,3.56227907675525e-05,0.497,3.745,2.363,0.124260626,0.421741879,81845
Mettl18,methyltransferase like 18,1513,1,163994888,163997243,4.705,4.403,3.593,3.989,3.331,3.217,3.398,3.414,0.901,3.859,8.458,0.003634437,0.019388137,1.218,3.859,15.388,8.75585061632785e-05,0.000601682,0.317,3.859,1.25,0.263640724,0.616690969,69962
Mpv17,MpV17 mitochondrial inner membrane protein,3208,5,31140659,31154251,4.705,4.521,4.027,4.282,3.914,4.8,4.751,4.672,0.535,4.496,4.451,0.03488405,0.097217845,-0.126,4.496,0.243,0.621848792,0.718785325,-0.66,4.496,8.325,0.003911342,0.035913514,17527
Nt5dc1,5'-nucleotidase domain containing 1,3192,10,34288287,34418552,4.705,4.582,4.887,5.052,4.984,4.78,4.937,5.061,-0.332,4.885,1.964,0.161095469,0.291069649,-0.287,4.885,1.472,0.225083569,0.334528935,0.045,4.885,0.046,0.830304533,0.939172678,319638
Oasl2,2'-5' oligoadenylate synthetase-like 2,3879,5,114896935,114912234,4.705,4.358,3.315,4.156,4.041,2.037,2.344,4.122,0.66,3.881,1.196,0.27403288,0.42452695,1.396,3.881,5.352,0.020699089,0.050770522,0.736,3.881,1.787,0.181278036,0.513621101,23962
Tmem39a,transmembrane protein 39a,4094,16,38558697,38592162,4.705,4.803,4.359,4.568,4.64,4.783,4.966,4.879,0.227,4.727,0.894,0.344261101,0.497892947,-0.124,4.727,0.267,0.605204891,0.705187838,-0.351,4.727,2.673,0.102087273,0.375359058,67846
C030046E11Rik,,10727,19,29522281,29606829,4.698,4.568,6.128,5.641,5.909,6.314,5.774,6.298,-1.273,5.791,21.059,4.45310936654594e-06,0.000130655,-1.516,5.791,29.338,6.07824282261836e-08,1.18290382204492e-06,-0.244,5.791,1.067,0.301542483,0.65375677,NA
Cox10,cytochrome c oxidase assembly protein 10,3037,11,63962626,64079468,4.698,4.571,4.169,4.69,4.724,4.126,4.276,4.324,0.086,4.47,0.096,0.757215469,0.839172738,0.392,4.47,2.014,0.155819492,0.250803861,0.306,4.47,1.519,0.217825464,0.563072979,70383
Cpt2,carnitine palmitoyltransferase 2,2391,4,107903980,107923610,4.698,4.654,4.217,4.466,4.419,4.062,4.427,4.231,0.305,4.415,1.413,0.23451749,0.379854587,0.428,4.415,2.782,0.095320272,0.170599527,0.123,4.415,0.282,0.595602876,0.844921629,12896
Crbn,cereblon,5179,6,106778248,106800074,4.698,4.634,5.24,5.522,5.13,4.793,5.266,5.061,-0.642,5.075,5.979,0.014473215,0.051495957,-0.388,5.075,2.216,0.136619235,0.225681388,0.253,5.075,1.219,0.269461303,0.621566967,58799
Pgk1,phosphoglycerate kinase 1,2244,X,106187099,106203699,4.698,4.732,4.351,4.87,5.473,4.227,4.946,4.835,-0.257,4.815,0.462,0.496676656,0.637104099,0.012,4.815,0.001,0.975070222,0.982902538,0.269,4.815,0.64,0.423557779,0.748445113,18655
Coq10a,coenzyme Q10A,2502,10,128363096,128370032,4.695,4.634,3.657,3.514,3.296,4.256,3.67,3.697,1.173,4.018,14.965,0.000109545,0.001516579,0.769,4.018,6.451,0.011089277,0.03074887,-0.404,4.018,2.126,0.144806568,0.456494115,210582
Cpsf7,cleavage and polyadenylation specific factor 7,3604,19,10525243,10547735,4.695,4.366,6.012,5.129,5.542,5.668,4.713,5.293,-1.067,5.273,7.974,0.004746649,0.023580259,-0.736,5.273,3.883,0.048775692,0.100400107,0.331,5.273,1.029,0.310441363,0.661645788,269061
Gpr155,G protein-coupled receptor 155,6679,2,73341505,73386572,4.695,4.788,4.893,4.792,4.575,4.432,4.467,4.962,-0.016,4.715,0.003,0.952998488,0.971959352,0.1,4.715,0.132,0.716088319,0.794990522,0.116,4.715,0.223,0.636530587,0.863548127,68526
Hirip3,HIRA interacting protein 3,3023,7,126861971,126865377,4.695,4.457,5.09,4.106,5.605,4.256,3.665,4.518,-0.478,4.665,1.115,0.290985054,0.443654343,0.394,4.665,0.784,0.375871541,0.495673628,0.872,4.665,4.685,0.030433941,0.170950609,233876
Ubp1,upstream binding protein 1,3850,9,113930933,113977199,4.695,4.521,6.313,5.156,5.105,5.778,4.657,4.958,-1.03,5.276,4.644,0.031170586,0.089390219,-0.601,5.276,1.629,0.201776517,0.306428867,0.429,5.276,1.073,0.300261614,0.652939101,22221
2410131K14Rik,RIKEN cDNA 2410131K14 gene,5649,5,118245226,118266093,4.692,4.844,4.715,5.135,4.838,4.666,4.77,4.631,-0.137,4.797,0.301,0.582951441,0.709418646,0.08,4.797,0.103,0.747806927,0.818544464,0.218,4.797,0.954,0.32873848,0.677863564,76792
Golt1b,golgi transport 1B,2818,6,142387220,142403858,4.692,4.994,4.397,4.928,4.956,4.729,5.103,4.723,0.067,4.833,0.055,0.814774252,0.879062535,-0.012,4.833,0.002,0.965574951,0.976044634,-0.08,4.833,0.096,0.756299728,0.910710922,66964
Mad2l1,MAD2 mitotic arrest deficient-like 1,2203,6,66535389,66541033,4.692,4.725,5.43,4.952,6.78,5.484,5.639,5.679,-1.231,5.58,6.101,0.013507111,0.049112559,-0.895,5.58,3.31,0.068872485,0.132893662,0.336,5.58,0.617,0.432079117,0.753823512,56150
Zfp319_2,,4106,8,95326136,95331950,4.692,4.748,4.761,5.288,4.675,4.952,4.877,4.672,-0.215,4.85,0.591,0.442137403,0.588141122,-0.118,4.85,0.178,0.673153306,0.761265135,0.097,4.85,0.153,0.695486133,0.891520399,NA
Ints6,integrator complex subunit 6,4993,14,62676329,62761112,4.689,4.943,5.501,5.397,5.608,5.1,5.104,5.516,-0.684,5.266,7.36,0.006667245,0.030001306,-0.434,5.266,2.993,0.083606902,0.15454042,0.251,5.266,1.294,0.255224781,0.609673622,18130
Rif1,replication timing regulatory factor 1,10527,2,52072836,52122383,4.689,4.754,6.583,5.742,6.714,5.603,5.095,5.929,-1.686,5.818,20.003,7.73020289684048e-06,0.000200361,-0.861,5.818,5.574,0.018232777,0.045859638,0.824,5.818,6.705,0.009612706,0.071599794,51869
Zfp407,zinc finger protein 407,10293,18,84128026,84589725,4.689,4.589,5.45,5.195,5.266,4.756,4.595,5.028,-0.668,4.983,6.975,0.008264581,0.034779232,-0.165,4.983,0.435,0.509359114,0.619772949,0.503,4.983,5.144,0.023332688,0.14136576,240476
Zfp511,zinc finger protein 511,1100,7,140036390,140040605,4.689,4.693,3.91,3.658,3.91,3.937,3.427,3.833,0.863,4.077,9.387,0.002185235,0.013523189,0.947,4.077,11.286,0.000780869,0.003616524,0.084,4.077,0.107,0.743272587,0.907333896,69752
Dolpp1,dolichyl pyrophosphate phosphatase 1,3233,2,30392253,30400529,4.686,4.844,4.554,4.211,4.219,4.58,4.301,4.176,0.433,4.468,2.593,0.107317622,0.21776228,0.407,4.468,2.293,0.129928287,0.2167972,-0.026,4.468,0.011,0.916028394,0.972080128,57170
Necap1,NECAP endocytosis associated 1,2386,6,122874556,122888934,4.686,4.778,4.722,4.519,3.945,4.588,4.16,4.092,0.304,4.469,0.915,0.338791203,0.492075173,0.438,4.469,1.903,0.167774609,0.265463246,0.134,4.469,0.218,0.640206288,0.865285244,67602
Zfp764,zinc finger protein 764,2508,7,127403667,127406822,4.686,4.775,4.202,4.568,3.626,3.418,3.689,3.484,0.551,4.157,2.788,0.094971319,0.199431144,1.198,4.157,13.175,0.000283697,0.001576702,0.648,4.157,4.618,0.031631127,0.17613479,233893
2610002M06Rik,RIKEN cDNA 2610002M06 gene,6337,X,107782750,107816334,4.683,4.634,4.691,5.148,5.183,4.599,5.035,5.05,-0.368,4.9,1.742,0.186875328,0.323443449,-0.253,4.9,0.826,0.363366605,0.484097954,0.115,4.9,0.219,0.639871158,0.865285244,67028
Cinp,cyclin-dependent kinase 2 interacting protein,2029,12,110872609,110889145,4.683,4.557,4.042,4.319,4.916,3.759,4.192,3.792,0.147,4.34,0.193,0.660722374,0.770493842,0.694,4.34,4.34,0.037222414,0.081284387,0.547,4.34,3.285,0.069909322,0.297771465,67236
Qtrt1,queuine tRNA-ribosyltransferase 1,1319,9,21411836,21420277,4.683,4.627,3.744,3.78,3.491,3.739,3.416,3.023,0.981,3.921,10.225,0.001385284,0.009812426,1.24,3.921,16.258,5.52882720033771e-05,0.000409236,0.26,3.921,0.851,0.356385701,0.700411204,60507
Marveld2,MARVEL (membrane-associating) domain containing 2,3382,13,100595956,100616971,4.679,4.741,4.594,4.596,4.506,3.187,3.07,3.269,0.145,4.238,0.342,0.558896984,0.688936781,1.538,4.238,37.617,8.60919442366544e-10,2.8930897539992e-08,1.393,4.238,36.381,1.62238745882988e-09,8.41022377761141e-08,218518
Pcid2,PCI domain containing 2,3084,8,13077188,13105459,4.679,4.64,4.678,5.161,5.015,4.415,4.799,4.817,-0.307,4.795,1.279,0.258150489,0.406902053,-0.03,4.795,0.012,0.911017338,0.938373023,0.277,4.795,1.324,0.249806458,0.602663549,234069
Renbp,renin binding protein,2494,X,73922120,73930850,4.679,4.76,3.731,3.805,3.098,4.712,4.861,4.151,1.148,4.339,11.74,0.000611838,0.005436468,0.115,4.339,0.117,0.731803995,0.80659591,-1.032,4.339,11.337,0.000759625,0.009371682,19703
Snx13,sorting nexin 13,7387,12,35047188,35147469,4.679,4.827,5.74,5.178,5.511,5.765,5.342,5.67,-0.74,5.39,7.615,0.005789008,0.02712644,-0.849,5.39,9.96,0.001599845,0.006446221,-0.109,5.39,0.219,0.639782078,0.865285244,217463
Timm10,translocase of inner mitochondrial membrane 10,815,2,84826996,84830213,4.679,4.89,3.417,4.388,4.016,3.167,3.952,3.275,0.795,4.104,4.368,0.03661061,0.100578181,1.282,4.104,11.311,0.000770646,0.003580654,0.486,4.104,1.96,0.161460947,0.482152103,30059
Tulp4,tubby like protein 4,18054,17,6106436,6251128,4.679,4.66,5.612,5.461,5.484,5.415,5.123,5.707,-0.851,5.317,11.098,0.000864197,0.00701553,-0.766,5.317,9.022,0.002667763,0.009713178,0.086,5.317,0.15,0.698965615,0.892148826,68842
Zfp414,zinc finger protein 414,1966,17,33629089,33631779,4.679,4.446,4.188,2.946,3.74,4.105,3.41,3.641,0.86,3.992,4.515,0.033590418,0.094466266,0.823,3.992,4.134,0.042032866,0.089583321,-0.037,3.992,0.01,0.920070862,0.973315993,328801
Antxr2,anthrax toxin receptor 2,5427,5,97882782,98030733,4.676,4.333,3.307,3.46,3.664,4.557,4.59,4.535,1.032,4.233,14.821,0.000118208,0.00160675,-0.046,4.233,0.029,0.864385858,0.906989246,-1.077,4.233,19.384,1.06897202044454e-05,0.000231845,71914
Clasp2,CLIP associating protein 2,5690,9,113812585,113919697,4.676,4.613,5.813,5.315,6.069,6.201,6.012,6.294,-1.122,5.749,16.057,6.14753585244544e-05,0.001000923,-1.53,5.749,28.945,7.44641725703879e-08,1.41487282338087e-06,-0.408,5.749,2.892,0.089009737,0.346448674,76499
Gpr65,G-protein coupled receptor 65,2049,12,98268634,98276624,4.676,4.827,4.579,4.847,4.334,5.856,5.831,5.917,0.152,5.241,0.39,0.532137769,0.666189457,-1.116,5.241,19.822,8.49946914412139e-06,8.29846818463203e-05,-1.269,5.241,33.408,7.47120902889908e-09,3.37371782711224e-07,14744
Tango2,transport and golgi organization 2,7040,16,18300824,18348103,4.676,4.535,4.074,3.716,4.076,4.152,4.11,3.995,0.645,4.199,5.941,0.014791341,0.052305875,0.522,4.199,3.892,0.048502453,0.09990883,-0.123,4.199,0.261,0.609458617,0.851195072,27883
Tmed1,transmembrane emp24 domain containing 1,1487,9,21507379,21510186,4.676,4.735,3.324,3.893,3.241,3.207,3.473,3.215,1.192,3.863,14.626,0.000131108,0.00173809,1.405,3.863,20.198,6.98252879337766e-06,6.96445494835598e-05,0.213,3.863,0.552,0.457378008,0.7660445,17083
Ubxn8,UBX domain protein 8,2817,8,33619585,33641976,4.676,4.525,3.763,4.278,4.048,4.084,4.677,4.443,0.557,4.347,3.516,0.060766823,0.14516728,0.179,4.347,0.363,0.547085228,0.653472332,-0.378,4.347,1.978,0.159567192,0.47930647,108159
Dnajc17,DnaJ heat shock protein family (Hsp40) member C17,1308,2,119172499,119208795,4.673,4.571,3.168,3.472,3.349,3.146,3.171,2.829,1.29,3.712,20.308,6.59247332862388e-06,0.000178475,1.572,3.712,29.801,4.78813711378552e-08,9.57627422757103e-07,0.282,3.712,1.131,0.287549628,0.642581424,69408
Hint2,histidine triad nucleotide binding protein 2,1540,4,43654226,43656466,4.673,4.411,3.149,3.582,2.915,3.564,3.567,3.346,1.31,3.772,17.333,3.13610550252106e-05,0.000597255,1.055,3.772,11.298,0.000775748,0.003597129,-0.255,3.772,0.78,0.377098631,0.716041421,68917
Ofd1,oral-facial-digital syndrome 1 gene homolog (human),4453,X,166390032,166440704,4.673,4.517,4.827,4.018,4.64,4.569,3.66,4.359,0.064,4.452,0.031,0.860938536,0.910199455,0.355,4.452,0.948,0.330106544,0.449844589,0.291,4.452,0.785,0.375537771,0.714689978,237222
Arhgap12,Rho GTPase activating protein 12,5833,18,6024426,6136098,4.67,4.634,5.281,4.787,4.973,5.186,4.744,5.014,-0.376,4.931,1.947,0.162884238,0.293475965,-0.34,4.931,1.597,0.206287816,0.312090977,0.036,4.931,0.023,0.880740997,0.958613149,75415
Ccs,copper chaperone for superoxide dismutase,1057,19,4825365,4839322,4.67,4.599,3.704,3.95,3.558,4.285,4.624,4.245,0.891,4.261,10.486,0.001202731,0.00883327,0.24,4.261,0.759,0.383748072,0.502734328,-0.651,4.261,6.765,0.009295066,0.069955058,12460
Fbrsl1,fibrosin-like 1,4947,5,110361753,110448503,4.67,4.308,5.087,4.401,3.616,4.99,3.829,3.764,0.012,4.43,0.001,0.980696816,0.989392169,0.191,4.43,0.138,0.710218824,0.790266432,0.178,4.43,0.15,0.698945291,0.892148826,381668
Pick1,protein interacting with C kinase 1,7770,15,79229172,79256674,4.67,4.532,4.643,3.632,3.727,3.948,2.761,3.365,0.529,4.044,1.431,0.231642051,0.376568993,1.17,4.044,7.028,0.008024137,0.023590798,0.642,4.044,2.541,0.110925505,0.394744607,18693
Trmt12,tRNA methyltranferase 12,4133,15,58872648,58876781,4.67,4.66,3.88,4.193,3.668,3.786,4.103,3.551,0.737,4.124,6.025,0.014105628,0.050624358,0.835,4.124,7.736,0.005411699,0.017132989,0.098,4.124,0.13,0.71869719,0.898999561,68260
Utrn,utrophin,12382,10,12382187,12861735,4.67,4.108,6.109,5.052,5.293,5.383,4.081,5.497,-1.144,5.171,5.242,0.022050951,0.069628243,-0.697,5.171,2.01,0.156287722,0.251432611,0.447,5.171,1.077,0.299411661,0.651841088,22288
Fbxl19,F-box and leucine-rich repeat protein 19,4293,7,127745200,127769476,4.667,4.575,4.754,4.211,3.766,4.756,4.128,3.529,0.323,4.363,0.584,0.44465277,0.590418794,0.4,4.363,0.898,0.343307102,0.46384176,0.077,4.363,0.041,0.839443216,0.942983787,233902
Kin,Kin17 DNA and RNA binding protein,1705,2,10080592,10092806,4.667,4.585,4.254,4.034,4.274,3.888,3.968,4.172,0.436,4.258,2.864,0.090591948,0.192507889,0.612,4.258,5.641,0.017540912,0.044497025,0.176,4.258,0.568,0.451024642,0.762849068,16588
Zfp653,zinc finger protein 653,2132,9,22055459,22071345,4.667,4.794,4.393,3.417,3.178,4.303,2.985,3.122,0.973,4.026,3.724,0.053643266,0.13253177,1.138,4.026,5.091,0.024055745,0.05737248,0.165,4.026,0.129,0.718977651,0.898999561,319601
Zscan25,zinc finger and SCAN domain containing 25,1996,5,145283342,145291469,4.667,4.599,4.722,4.893,4.262,4.683,4.259,4.282,-0.015,4.566,0.003,0.959358418,0.975994675,0.214,4.566,0.529,0.466899044,0.582238721,0.229,4.566,0.753,0.38543273,0.723151664,666311
